Player,Model:,PB3,TVB,actual performance
Ahmed El Mohamady,,better,worse,worse
Glenn Murray,,better,better,better
Çaglar Söyüncü,,better,better,better
Michy Batshuayi,,better,better,better
Roberto Pereyra,,better,better,better
Chris Mepham,,better,better,better
Arnaut Danjuma Groeneveld,,worse,worse,worse
Andriy Yarmolenko,,better,better,better
Fraser Forster,,worse,worse,worse
Marc Albrighton,,better,better,better
Jonas Lössl,,worse,worse,worse
Tom Cleverley,,better,better,better
David Luiz Moreira Marinho,,better,better,better
Fabian Delph,,better,better,worse
Jonathan Castro Otto,,better,worse,worse
Tim Krul,,better,better,better
Vicente Guaita,,better,better,better
Ørjan Nyland,,worse,worse,worse
Pedro Rodríguez Ledesma,,better,worse,worse
Gaëtan Bong,,worse,worse,worse
Ashley Barnes,,better,better,better
Moussa Sissoko,,better,better,better
Winston Reid,,worse,worse,worse
Ralf Fahrmann,,worse,worse,worse
Sadio Mané,,better,better,better
Callum Hudson-Odoi,,worse,worse,worse
Ben Mee,,better,better,better
Wilfried Zaha,,better,better,better
Alireza Jahanbakhsh,,worse,worse,worse
Onel Hernández,,worse,worse,worse
Junior Stanislas,,worse,worse,worse
Romain Saïss,,better,better,better
Michael McGovern,,worse,worse,worse
Javier Hernández Balcázar,,better,worse,worse
Wesley Hoedt,,worse,worse,worse
Moise Kean,,better,better,better
Lewis Gibson,,worse,worse,worse
Caoimhin Kelleher,,worse,worse,worse
Lucas Digne,,better,better,better
George Baldock,,better,better,better
Jonathan Kodjia,,better,worse,worse
Aaron Wan-Bissaka,,better,better,better
Wes Morgan,,better,worse,worse
Frederico Rodrigues de Paula Santos,,worse,worse,worse
Federico Fernández,,better,better,better
Djibril Sidibé,,worse,worse,worse
Jake Eastwood,,worse,worse,worse
Christian Fuchs,,better,worse,better
John Fleck,,better,worse,worse
Declan Rice,,better,better,better
Serge Aurier,,worse,worse,worse
José Diogo Dalot Teixeira,,worse,worse,worse
Michail Antonio,,better,worse,worse
Chris Wood,,better,better,worse
Phil Jagielka,,better,worse,worse
Isaac Hayden,,better,better,better
James Ward-Prowse,,better,better,better
Harry Kane,,better,better,better
Leandro Trossard,,better,better,better
Emiliano Martínez,,worse,worse,worse
Jed Steer,,worse,worse,worse
Aaron Ramsdale,,better,better,better
Alexandre Lacazette,,better,better,better
Rodrigo Hernandez,,better,better,better
Lys Mousset,,better,better,better
Luke Dreher,,worse,worse,worse
Cheikhou Kouyaté,,better,better,better
Fabio Henrique Tavares,,better,better,better
Phil Foden,,better,worse,worse
David Button,,worse,worse,worse
Toby Alderweireld,,better,better,better
Andreas Pereira,,better,better,better
Conor Coady,,better,better,better
Harry Winks,,better,better,better
Jannik Vestergaard,,better,better,better
Oliver Skipp,,better,worse,worse
Sung-yueng Ki,,better,worse,worse
Jonny Evans,,better,better,better
Morgan Schneiderlin,,better,worse,worse
Ibrahim Amadou,,better,better,better
Jordan Ayew,,better,better,better
Mario Vrancic,,better,worse,worse
Virgil van Dijk,,better,better,better
Cédric Soares,,better,better,better
Wayne Hennessey,,worse,worse,worse
Matteo Guendouzi,,better,better,better
Adam Masina,,worse,worse,worse
Riyad Mahrez,,better,better,better
Ben Davies,,better,worse,worse
Teemu Pukki,,better,better,better
Albian Ajeti,,worse,worse,worse
Timm Klose,,worse,worse,worse
Ismaïla Sarr,,better,worse,worse
Leighton Baines,,worse,worse,worse
Andy Carroll,,worse,worse,worse
Dominic Solanke,,better,better,better
Ravel Morrison,,worse,worse,worse
Aaron Cresswell,,better,worse,worse
Demarai Gray,,better,better,better
Callum Robinson,,better,better,better
Oleksandr Zinchenko,,better,better,better
Joel Matip,,better,better,better
Naby Keita,,worse,worse,worse
Shane Long,,worse,better,better
Jorge Luiz Frello Filho,,better,better,better
Jack Wilshere,,better,worse,worse
Johann Berg Gudmundsson,,better,worse,worse
Kieran Trippier,,worse,worse,worse
Victor Lindelöf,,better,better,better
Kurt Zouma,,better,better,worse
Lewis Dunk,,better,better,worse
Mohamed Elneny,,worse,worse,worse
Jack Cork,,better,better,better
Steve Cook,,better,better,better
Danilo Luiz da Silva,,worse,worse,worse
Joel Ward,,better,better,better
Shane Duffy,,better,worse,worse
Adama Traoré,,better,better,better
Gabriel Fernando de Jesus,,better,worse,worse
Kieran Tierney,,worse,worse,worse
Tanguy Ndombele,,better,worse,worse
Solomon March,,better,better,better
Javier Manquillo,,better,better,better
Jesús Vallejo Lázaro,,worse,worse,worse
Florin Andone,,better,worse,worse
Benjamin Mendy,,worse,worse,worse
Nathan Redmond,,better,worse,worse
Nicolas Pépé,,better,better,better
Tom Trybull,,better,better,better
Jack O'Connell,,better,better,better
Kortney Hause,,worse,worse,worse
John Egan,,better,better,better
Danny Ward,,worse,worse,worse
Heurelho da Silva Gomes,,worse,worse,worse
Mark Travers,,worse,worse,worse
Yan Valery,,better,worse,worse
Jose Luis Mato Sanmartín,,worse,worse,worse
Juan Mata,,better,better,better
Will Norris,,worse,worse,worse
Pierre-Emerick Aubameyang,,better,better,better
Martín Montoya,,better,better,worse
Tahith Chong,,worse,worse,worse
Lloyd Kelly,,worse,worse,worse
Will Hughes,,better,better,better
Adrián San Miguel del Castillo,,better,better,better
Ryan Fredericks,,better,better,better
Leroy Sané,,worse,worse,worse
Gary Cahill,,better,better,better
Pontus Dahlberg,,worse,worse,worse
Alex Iwobi,,better,better,better
Pascal Groß,,better,better,better
Kepa Arrizabalaga,,better,better,better
Jetro Willems,,better,better,better
Maarten Stekelenburg,,worse,worse,worse
Keinan Davis,,better,better,better
James Garner,,worse,worse,worse
Harvey Barnes,,better,better,better
Marc Navarro,,worse,worse,worse
Eric Bailly,,worse,worse,worse
James McCarthy,,better,worse,worse
Pablo Zabaleta,,worse,worse,worse
Paulo Gazzaniga,,worse,worse,worse
Allan Saint-Maximin,,better,worse,worse
Ederson Santana de Moraes,,better,better,better
Davy Pröpper,,better,better,better
Sergio Romero,,worse,worse,worse
Richarlison de Andrade,,better,better,better
Joseph Willock,,better,worse,worse
Kevin Danso,,,,better
Ashley Young,,better,better,better
Sam Byram,,better,worse,worse
Emerson Palmieri dos Santos,,better,better,better
Bernardo Fernandes da Silva Junior,,better,better,better
Max Meyer,,better,worse,worse
Birkir Bjarnason,,worse,worse,worse
Rúben Gonçalo Silva Nascimento Vinagre,,better,better,worse
Neil Taylor,,better,better,better
Ezri Konsa Ngoyo,,worse,worse,worse
Ryan Bertrand,,better,worse,worse
Arthur Masuaku,,better,better,better
José Heriberto Izquierdo Mena,,worse,worse,worse
Roberto Jimenez Gago,,worse,worse,worse
Issa Diop,,better,better,better
Andre Gray,,better,better,better
Sokratis Papastathopoulos,,better,better,worse
José Ángel Esmorís Tasende,,worse,worse,worse
Fabian Schär,,better,better,better
José Holebas,,better,worse,worse
Scott McTominay,,better,better,better
Ben Gibson,,worse,worse,worse
Craig Cathcart,,better,better,better
Simon Francis,,worse,worse,worse
Cenk Tosun,,worse,worse,worse
Robert Kenedy Nunes do Nascimento,,worse,worse,worse
Callum Wilson,,better,better,better
Beram Kayal,,worse,worse,worse
Marvelous Nakamba,,worse,worse,worse
Andre Green,,worse,worse,worse
Ricardo Domingos Barbosa Pereira,,better,better,better
Daniel N'Lundulu,,,,N/A
Konstantinos Mavropanos,,worse,worse,worse
Ryan Fraser,,better,better,better
Ciaran Clark,,worse,worse,worse
Dennis Srbeny,,better,worse,worse
Víctor Camarasa,,worse,worse,worse
Trent Alexander-Arnold,,better,better,better
Isaac Success Ajayi,,better,better,better
Troy Deeney,,better,worse,worse
Joseph Gomez,,better,worse,worse
Davide Zappacosta,,worse,worse,worse
Jordan Pickford,,better,better,better
Danny Welbeck,,better,worse,worse
Divock Origi,,better,better,better
David McGoldrick,,better,better,better
Dan Burn,,better,better,worse
Neal Maupay,,better,better,better
James Chester,,worse,worse,worse
Granit Xhaka,,better,better,better
Héctor Bellerín,,worse,worse,worse
Ethan Ampadu,,worse,worse,worse
Hamza Choudhury,,better,better,better
Roberto Firmino,,better,better,better
Tom Heaton,,better,better,better
Angel Gomes,,worse,worse,worse
Dan Gosling,,worse,worse,worse
Jamaal Lascelles,,better,better,better
John Stones,,better,worse,worse
Conor Hourihane,,better,better,better
Kevin De Bruyne,,better,better,better
Oliver McBurnie,,better,better,better
Jordan Henderson,,better,better,better
Moritz Leitner,,better,better,better
Bernardo Mota Veiga de Carvalho e Silva,,better,worse,better
Willy Boly,,better,better,better
Fernando Luiz Rosa,,better,better,better
Gerard Deulofeu,,better,worse,better
Anwar El Ghazi,,better,worse,worse
